galaxy,ra,dec,dist,dist_err,logsig,logsig_err,logM_B,logM_B_err
MilkyWay,0.000000,0.000000,0.000,0.000,2.021,0.076,0.000,0.000
NGC221,0.711607,40.865165,0.760,0.070,1.875,0.017,0.000,0.000
NGC224,0.712316,41.268883,0.770,0.020,2.204,0.021,0.000,0.000
NGC253,0.792531,-25.288442,3.540,0.200,2.011,0.073,0.000,0.000
NGC821,2.139199,10.995008,23.380,1.240,2.320,0.020,0.000,0.000
NGC1023,2.673329,39.063253,11.430,1.000,2.320,0.020,0.000,0.000
NGC1316,3.378256,-37.208211,21.090,0.300,2.357,0.006,0.000,0.000
NGC1332,3.438111,-21.335276,22.910,0.200,2.506,0.018,9.170,0.060
NGC1399,3.641408,-35.450626,20.680,0.500,2.528,0.020,8.690,0.065
NGC2778,9.206775,35.027417,22.910,3.390,2.243,0.019,0.000,0.000
NGC3031,9.925869,69.065438,3.550,0.070,2.155,0.021,0.000,0.000
NGC3115,10.087214,-7.718556,10.000,0.500,2.362,0.020,8.960,0.170
NGC3377,10.795104,13.985641,11.040,0.250,2.161,0.020,0.000,0.000
NGC3379,10.797108,12.581611,10.200,0.500,2.314,0.021,0.000,0.000
NGC3384,10.804699,12.629401,10.800,0.770,2.155,0.021,0.000,0.000
NGC3414,10.854492,27.974833,25.230,4.140,2.374,0.014,0.000,0.000
NGC3585,11.221418,-26.754864,21.200,1.730,2.328,0.020,8.510,0.140
NGC3607,11.281816,18.051899,20.000,2.000,2.360,0.020,0.000,0.000
NGC3608,11.283036,18.148538,23.000,2.000,2.260,0.021,8.670,0.095
NGC3842,11.733936,19.949696,94.900,6.700,2.498,0.011,9.990,0.125
NGC4261,12.323060,5.825041,31.620,2.890,2.498,0.020,8.710,0.085
NGC4291,12.338247,75.370944,26.180,4.160,2.384,0.021,8.980,0.140
NGC4350,12.399394,16.693471,15.500,0.780,2.256,0.017,8.740,0.100
NGC4374,12.417685,12.887071,18.510,0.610,2.471,0.020,8.960,0.045
NGC4459,12.483339,13.978556,16.010,0.550,2.223,0.020,0.000,0.000
NGC4472,12.496331,8.000389,17.030,0.210,2.468,0.004,9.260,0.150
NGC4473,12.496907,13.429397,15.250,0.510,2.279,0.020,0.000,0.000
NGC4486,12.513724,12.391217,17.000,0.300,2.574,0.020,9.770,0.030
NGC4486A,12.516033,12.270333,18.360,0.640,2.045,0.019,0.000,0.000
NGC4552,12.594402,12.556115,15.890,0.550,2.402,0.006,8.680,0.045
NGC4564,12.607493,11.439400,15.870,0.530,2.210,0.021,0.000,0.000
NGC4594,12.666513,-11.623010,9.770,0.840,2.380,0.021,8.720,0.435
NGC4621,12.700637,11.647308,14.850,0.500,2.352,0.006,8.600,0.065
NGC4649,12.727789,11.552672,17.090,0.610,2.585,0.021,9.630,0.100
NGC4697,12.809995,-5.800602,12.010,0.780,2.248,0.019,0.000,0.000
NGC4889,13.002237,27.977031,96.600,6.800,2.603,0.006,10.320,0.435
NGC5128,13.424479,-43.018118,3.800,0.070,2.176,0.020,0.000,0.000
IC4296,13.610847,-33.965822,49.680,2.730,2.508,0.021,9.130,0.065
NGC5813,15.019805,1.702009,32.210,2.780,2.374,0.006,8.840,0.070
NGC5845,15.100215,1.633972,25.940,2.630,2.369,0.020,8.690,0.140
NGC5846,15.108124,1.606291,24.890,2.400,2.379,0.008,9.040,0.080
NGC6086,16.209883,29.484478,137.300,9.600,2.524,0.012,9.560,0.160
NGC7332,22.623476,23.798260,23.010,2.220,2.097,0.011,0.000,0.000
IC1459,22.952945,-36.462176,29.240,4.020,2.486,0.011,9.450,0.195
NGC7457,23.016647,30.144889,13.240,1.340,1.826,0.019,0.000,0.000
NGC7768,23.849610,27.147336,112.100,7.900,2.495,0.021,9.110,0.150
