SDSS_objID,redshift,M_r,M_r_err,gr,gr_err,logab,fracDeV,red
587726033307107491,0.0486,-20.44,0.01,0.481,0.026,0.076,0.04,0
587725551197946034,0.0729,-21.99,0.01,0.639,0.017,0.113,0.29,0
587737809566630231,0.0448,-20.45,0.01,0.439,0.022,0.067,0.25,0
588017625628278943,0.0834,-21.06,0.01,0.386,0.020,0.145,0.43,0
588017948292022413,0.0707,-21.15,0.01,0.539,0.022,0.115,0.08,0
588848899393519811,0.0801,-20.75,0.01,0.376,0.023,0.087,0.08,0
587722983904969020,0.0334,-20.30,0.01,0.371,0.020,0.195,0.16,0
587732772129472597,0.0701,-21.47,0.01,0.542,0.016,0.027,0.01,0
587737826752200855,0.0553,-20.83,0.01,0.494,0.020,0.084,0.04,0
588297864721006714,0.0708,-21.34,0.01,0.599,0.020,0.092,0.20,0
587741533840670747,0.0372,-21.64,0.00,0.489,0.014,0.017,0.34,0
588015508204290198,0.0536,-20.68,0.01,0.402,0.020,0.032,0.00,0
588016527171911805,0.0444,-21.09,0.00,0.648,0.015,0.055,0.17,0
587735742616764668,0.0571,-20.54,0.01,0.511,0.018,0.095,0.00,0
588013383260045351,0.0830,-22.03,0.01,0.640,0.018,0.096,0.08,0
588011103179702445,0.0325,-21.16,0.01,0.456,0.017,0.127,0.12,0
587725816961171600,0.0502,-21.64,0.02,0.560,0.027,0.155,0.24,0
588848900970184871,0.0703,-21.09,0.01,0.403,0.019,0.109,0.23,0
588017947198554200,0.0740,-20.93,0.01,0.603,0.021,0.109,0.05,0
587732483812163707,0.0769,-20.77,0.01,0.447,0.023,0.064,0.23,0
588017977274531973,0.0410,-20.83,0.00,0.697,0.016,0.138,0.46,1
588009370687832178,0.0457,-20.68,0.01,0.562,0.016,0.143,0.00,0
587739709016637576,0.0440,-20.98,0.01,0.630,0.018,0.086,0.34,0
587736547386065218,0.0462,-21.08,0.01,0.499,0.018,0.178,0.31,0
588015508219166879,0.0362,-20.92,0.00,0.576,0.017,0.076,0.00,0
587735343185789152,0.0653,-20.81,0.01,0.428,0.023,0.079,0.03,0
587726014548017312,0.0386,-20.59,0.02,0.450,0.026,0.044,0.10,0
588017991241630034,0.0505,-21.41,0.01,0.622,0.017,0.101,0.15,0
587735743148654923,0.0727,-21.35,0.01,0.455,0.017,0.073,0.06,0
587739809412743329,0.0565,-21.37,0.00,0.668,0.017,0.137,0.47,1
587741490890276941,0.0658,-21.28,0.02,0.563,0.024,0.170,0.02,0
587741600414957613,0.0495,-20.94,0.01,0.471,0.016,0.125,0.00,0
587730775490429038,0.0832,-21.60,0.01,0.615,0.020,0.107,0.28,0
587730023329366177,0.0725,-21.89,0.01,0.550,0.017,0.029,0.29,0
588017979414872187,0.0421,-21.08,0.01,0.365,0.021,0.057,0.12,0
587727867254931772,0.0601,-20.61,0.01,0.364,0.025,0.198,0.00,0
587736523763745039,0.0549,-20.89,0.01,0.481,0.017,0.063,0.14,0
588297865257681036,0.0742,-22.29,0.00,0.638,0.016,0.103,0.19,0
587725576422752469,0.0532,-21.21,0.01,0.621,0.018,0.136,0.44,0
587738948819943585,0.0399,-20.21,0.01,0.370,0.022,0.063,0.00,0
587728905025159433,0.0606,-21.78,0.00,0.573,0.016,0.137,0.17,0
588297864182300839,0.0629,-21.55,0.02,0.622,0.029,0.098,0.21,0
587736897967030695,0.0618,-20.20,0.02,0.355,0.030,0.039,0.06,0
587730772804698396,0.0789,-21.56,0.01,0.556,0.022,0.168,0.16,0
588017605227315309,0.0632,-20.73,0.01,0.599,0.018,0.141,0.00,0
588017567095128202,0.0814,-22.29,0.01,0.634,0.017,0.114,0.17,0
587741708336758932,0.0418,-20.90,0.00,0.685,0.015,0.192,0.18,1
587724198815858756,0.0425,-20.61,0.01,0.224,0.019,0.050,0.35,0
587727180610469902,0.0786,-21.93,0.02,0.637,0.030,0.100,0.04,0
587732771575824538,0.0606,-21.57,0.01,0.566,0.017,0.028,0.29,0
587725775602843958,0.0527,-21.34,0.01,0.608,0.018,0.164,0.10,0
587726015077810368,0.0398,-20.99,0.00,0.497,0.015,0.042,0.24,0
588011123047006404,0.0749,-21.11,0.01,0.519,0.027,0.150,0.08,0
587742062125187460,0.0705,-21.82,0.00,0.612,0.016,0.080,0.12,0
587736478668751019,0.0835,-21.36,0.01,0.525,0.017,0.070,0.01,0
587733081884852497,0.0498,-22.13,0.00,0.633,0.015,0.058,0.24,0
588015509270364319,0.0735,-21.75,0.01,0.701,0.021,0.143,0.46,1
587742865278959753,0.0489,-21.05,0.01,0.418,0.020,0.115,0.11,0
588017705078161509,0.0667,-21.12,0.01,0.532,0.018,0.111,0.04,0
588010359076749393,0.0587,-20.32,0.74,0.437,0.815,0.009,0.07,0
588010878221680752,0.0716,-21.57,0.01,0.548,0.018,0.117,0.49,0
588017704011300956,0.0545,-20.49,0.01,0.331,0.023,0.196,0.22,0
587726878888624333,0.0646,-20.69,0.01,0.545,0.024,0.109,0.00,0
587728919524671670,0.0585,-20.59,0.01,0.482,0.019,0.043,0.05,0
587734303805407552,0.0555,-20.28,0.02,0.402,0.025,0.057,0.00,0
587733431924687325,0.0505,-21.58,0.01,0.573,0.017,0.085,0.09,0
587738568700330067,0.0711,-21.19,0.01,0.501,0.022,0.051,0.02,0
587739115777425634,0.0836,-21.90,0.01,0.652,0.019,0.079,0.24,0
587737810646401129,0.0445,-20.73,0.01,0.644,0.018,0.135,0.00,0
587741816769872088,0.0319,-20.92,0.12,0.484,0.178,0.064,0.00,0
587727179523162194,0.0831,-22.57,0.00,0.611,0.017,0.098,0.21,0
587735743686312237,0.0767,-20.68,0.01,0.444,0.020,0.095,0.00,0
588848899397845133,0.0688,-20.46,0.02,0.385,0.026,0.198,0.10,0
587735666396234003,0.0622,-21.56,0.00,0.563,0.016,0.186,0.21,0
587732482219573448,0.0621,-20.99,0.01,0.629,0.020,0.049,0.18,0
587738195039945012,0.0601,-21.24,0.01,0.434,0.016,0.030,0.16,0
587729155745185970,0.0791,-22.11,0.00,0.573,0.016,0.060,0.23,0
588013383282065588,0.0653,-21.32,0.01,0.951,0.017,0.106,0.49,1
587727180619120774,0.0370,-21.92,0.00,0.565,0.015,0.068,0.10,0
588017703487602835,0.0823,-21.36,0.01,0.530,0.022,0.041,0.04,0
587739609158778970,0.0591,-20.43,0.01,0.368,0.023,0.125,0.24,0
587741533330342060,0.0614,-20.99,0.01,0.476,0.017,0.043,0.45,0
588010358011527392,0.0496,-20.55,0.01,0.521,0.022,0.036,0.00,0
587725074994692275,0.0832,-21.48,0.01,0.641,0.022,0.172,0.18,0
587728307492290594,0.0850,-21.92,0.01,0.647,0.021,0.100,0.05,0
